Date,Time,DEP.m,X.C,DO_percent,DO_mgpL,pH,ORP,PC,CHL
8/4/2017,12:40:00,0,28.4,105,7.82,8.22,189.6,-1.52,5.1
8/4/2017,12:40:00,1,28.1,98.7,7.68,8.25,192,-1.23,7.14
8/4/2017,12:40:00,3,27.7,84.4,6.59,8.12,196.8,-1.32,4.92
8/4/2017,12:40:00,4,27.4,68.8,5.42,7.99,200.3,-1.5,4.04
8/4/2017,12:40:00,5,26.7,20.8,1.62,7.68,205.3,-2.02,2.45
8/4/2017,12:40:00,5.5,26.3,18.4,1.46,7.56,207.9,-1.98,2.39
8/4/2017,12:40:00,6,25.3,4.1,0.31,7.46,209.9,-1.95,2.41
8/4/2017,12:40:00,6.5,23.7,1.6,0.13,7.37,149.1,-2.05,2.02
8/4/2017,12:40:00,7,23.4,1.3,0.12,7.31,89.9,-2.14,1.86
8/4/2017,12:40:00,8,21.6,1,0.09,7.25,14.8,-2,1.96
8/4/2017,12:40:00,9,20.3,0.8,0.08,7.2,-78.6,-1.9,2.1
8/4/2017,12:40:00,10,19.6,0.8,0.07,7.18,-111.9,-1.97,2.13
8/4/2017,12:40:00,11,18.8,0.6,0.06,7.15,-133.3,-1.75,2.46
8/4/2017,12:40:00,12,17.5,0.5,0.05,7.12,-145.4,-1.36,3.31
8/4/2017,12:40:00,13,17.2,0.5,0.05,7.1,-152.6,-1.25,3.56
8/4/2017,12:40:00,14,17,0.5,0.05,7.09,-158.4,-0.98,6.86
